Filter,FP,FN,VP,VN,precision,rappel,f1_score,shape_count,mean_area,area_var,area_std_dev,mean_perimeter
Threshold_1,27279,30174,55997,911344,0.6724266295211105,0.649835791623632,0.6609382284726198,0,0.0,0.0,0.0,0.0
OpenClose_1,13623,36991,49180,925000,0.7830836106555419,0.570725650160727,0.66024943949951,0,0.0,0.0,0.0,0.0
TopHat_1,7310,43962,42209,931313,0.8523798945859166,0.4898283645309907,0.6221386985039428,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_1,22475,29954,56217,916148,0.714392822650333,0.652388854719105,0.6819844355616482,90,788.7333333333333,591299.9344444444,768.9602944524797,170.2779218316078
Contours_OpenClose_90_1,12940,36983,49188,925683,0.791720319340716,0.5708184888187441,0.6633625311027046,79,723.0632911392405,547489.723842333,739.9254853310115,124.70249275919757
Contours_TopHat_90_1,5478,43977,42194,933145,0.8850897801644572,0.48965429204720845,0.6304999140784351,64,658.7578125,277455.34368896484,526.7403000425968,176.18525353260338
Verite_terrain_0_1,1446,2177,83994,937177,0.9830758426966292,0.9747362801870699,0.978888299701068,68,1202.8676470588234,871368.3354238754,933.4711219014091,146.40539072191015
Threshold_2,15790,41859,68828,850923,0.8133966768299888,0.6218255079638982,0.7048257853101559,0,0.0,0.0,0.0,0.0
OpenClose_2,2695,64884,45803,864018,0.9444306981731205,0.41380649940824127,0.5754687941703049,0,0.0,0.0,0.0,0.0
TopHat_2,8204,51300,59387,858509,0.8786228935805063,0.536530938592608,0.6662291477355591,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_2,9688,42786,67901,857025,0.8751369395146219,0.6134505407139049,0.7212921455735196,67,1043.0597014925372,1702217.3322566275,1304.6905120589433,233.09156549688595
Contours_OpenClose_90_2,2570,64934,45753,864143,0.9468162158806366,0.41335477517685004,0.575473240676687,46,974.2608695652174,1618848.2036862008,1272.3396573581288,153.3228490508121
Contours_TopHat_90_2,2240,52449,58238,864473,0.9629617381527167,0.5261503157552377,0.6804895860719188,52,1017.8653846153846,1802988.2895710056,1342.753994434947,300.1873481342426
Verite_terrain_0_2,3141,3768,106919,863572,0.9714610212611303,0.9659580619223577,0.968701726410778,48,2208.8125,3774048.46484375,1942.6910368979804,222.3465557048718
Threshold_3,61124,79785,75467,820568,0.5525034592323067,0.4860935768943395,0.5171753305715745,0,0.0,0.0,0.0,0.0
OpenClose_3,37556,96258,58994,844136,0.6110201967892284,0.37998866359209543,0.4685745148966251,0,0.0,0.0,0.0,0.0
TopHat_3,31891,76350,78902,849801,0.7121569052196438,0.5082188957308118,0.5931477757522223,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_3,53775,83055,72197,827917,0.5731194233639222,0.46503104629892045,0.5134483543367564,126,917.218253968254,2361178.5059366333,1536.612672711192,205.2002582237834
Contours_OpenClose_90_3,36209,97778,57474,845483,0.613494444029333,0.37019812949269576,0.4617590937393295,100,865.115,1260058.7342750002,1122.5233780527692,151.64708375692368
Contours_TopHat_90_3,27979,78544,76708,853713,0.732736633966013,0.49408703269523097,0.5902000084635242,106,878.3254716981132,1578857.8020870415,1256.5260849210579,235.0712388180337
Verite_terrain_0_3,4564,7539,147713,877128,0.9700283036834191,0.9514402390951485,0.9606443619951289,74,1997.5608108108108,2957163.411842586,1719.6404891263132,231.23741150063438
Threshold_4,12936,37861,57871,819232,0.8173061985396924,0.6045105085029039,0.694984358018242,0,0.0,0.0,0.0,0.0
OpenClose_4,2998,51328,44404,829170,0.9367537234715835,0.46383654368445243,0.6204535609987843,0,0.0,0.0,0.0,0.0
TopHat_4,5575,43365,52367,826593,0.9037830934382659,0.5470166715413863,0.6815336361388393,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_4,10104,38521,57211,822064,0.8498997251726955,0.5976162620649312,0.7017731083675258,68,894.1985294117648,633653.4642625431,796.0235324803804,191.3011427030844
Contours_OpenClose_90_4,2822,51882,43850,829346,0.939535481659239,0.4580495550077299,0.6158534872615938,47,919.0,553336.2872340425,743.8657723232348,146.2477658073953
Contours_TopHat_90_4,2741,44490,51242,829427,0.9492247559416853,0.5352651151130239,0.6845272684767725,50,958.35,715108.0625,845.640622546008,244.93994967699052
Verite_terrain_0_4,1480,2736,92996,830688,0.9843346458359795,0.9714202147662224,0.9778347913862719,56,1633.9285714285713,1158358.8520408163,1076.2708079478957,173.6850090622902
Threshold_5,28009,44135,43047,520401,0.6058179464084665,0.4937601798536395,0.5440791718803321,0,0.0,0.0,0.0,0.0
OpenClose_5,15465,56390,30792,532945,0.665672222582528,0.35319217269619874,0.46151424995690904,0,0.0,0.0,0.0,0.0
TopHat_5,9480,48637,38545,538930,0.8026028110359188,0.44212108003945766,0.570162787429645,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_5,24074,44960,42222,524336,0.6368710027754314,0.4842972173155009,0.5502026349053284,104,572.7788461538462,398876.3741678995,631.566603113163,133.21916828247217
Contours_OpenClose_90_5,14902,57068,30114,533508,0.6689621467922516,0.3454153380284921,0.45558934325784056,73,565.0616438356165,378612.49277538003,615.314954129493,106.81003235464226
Contours_TopHat_90_5,7865,49678,37504,540545,0.8266437435253147,0.43018054185497007,0.5658803026759511,73,539.445205479452,203342.94905235505,450.9356373722918,153.9741361206525
Verite_terrain_0_5,2471,2787,84395,545939,0.9715538875969885,0.9680323920075244,0.9697899430042286,69,1192.4492753623188,750291.9648183156,866.1939533489689,162.27936768186265
Threshold_6,72006,83910,121289,1972795,0.6274813109495848,0.591079878556913,0.608736894407444,0,0.0,0.0,0.0,0.0
OpenClose_6,43153,105960,99239,2001648,0.6969422439462891,0.48362321453808255,0.5710101815064257,0,0.0,0.0,0.0,0.0
TopHat_6,7403,101968,103231,2037398,0.9330856698664064,0.5030775003776822,0.6537062308245181,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_6,72052,92031,113168,1972749,0.610992333441313,0.5515036622985492,0.579725884242314,97,1741.3865979381444,19597906.770645127,4426.952311765413,277.6852805528444
Contours_OpenClose_90_6,45178,113918,91281,1999623,0.6689261976124696,0.4448413491293817,0.5343413589027625,67,1997.7462686567164,21505646.435620405,4637.418078588603,220.4624701845112
Contours_TopHat_90_6,5088,103981,101218,2039713,0.9521381671777699,0.4932675110502488,0.6498643681481838,79,1206.3417721518988,3783594.6680019232,1945.1464387037609,261.13271682624577
Verite_terrain_0_6,12322,14712,190487,2032479,0.9392433274657437,0.9283037441702933,0.9337414952647988,65,3026.9692307692308,29881876.999053255,5466.431834300438,301.21003132233255
Threshold_7,16541,40436,48372,645755,0.7451820128479657,0.5446806594000541,0.6293479745773186,0,0.0,0.0,0.0,0.0
OpenClose_7,6308,54801,34007,655988,0.8435321840506015,0.3829272137645257,0.5267380714512518,0,0.0,0.0,0.0,0.0
TopHat_7,3432,59845,28963,658864,0.8940577249575552,0.32613052878119086,0.4779254638911578,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_7,13300,41390,47418,648996,0.7809545768964722,0.5339383839293758,0.6342442117090005,73,744.0205479452055,737164.5098517546,858.5828497307377,177.40750266754463
Contours_OpenClose_90_7,5701,55297,33511,656595,0.8546108334183413,0.37734213133951894,0.5235275738165911,50,725.37,512202.32810000004,715.683119893155,129.67109187841416
Contours_TopHat_90_7,2663,60376,28432,659633,0.9143592217398295,0.32015133771732274,0.4742500187651685,34,810.6323529411765,598633.6074826989,773.7141639408567,207.4765554280842
Verite_terrain_0_7,1530,2499,86309,660766,0.9825817689181343,0.9718606431852986,0.9771918005966702,73,1152.8082191780823,1140974.1070557327,1068.1638952219519,143.46653294563293
Threshold_8,5716,43050,48732,472238,0.8950191007934176,0.5309537817872786,0.6665116597141489,0,0.0,0.0,0.0,0.0
OpenClose_8,1458,59963,31819,476496,0.9561859542627039,0.3466801769410124,0.5088638162787165,0,0.0,0.0,0.0,0.0
TopHat_8,2778,47277,44505,475176,0.9412473827802804,0.4848989998038831,0.640060403408478,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_8,4273,44909,46873,473681,0.9164548547295976,0.510699265651217,0.6558966752490765,61,761.0245901639345,447766.38054286473,669.1534805579844,166.7642200286271
Contours_OpenClose_90_8,1357,60328,31454,476597,0.9586419188686721,0.3427033623150509,0.5049079803841308,48,624.7083333333334,280080.85243055556,529.2266550643076,118.21074988444646
Contours_TopHat_90_8,558,47437,44345,477396,0.9875732133710442,0.48315573859798217,0.6488641767567765,49,782.0102040816327,482003.14785506035,694.2644653552854,232.56476881552715
Verite_terrain_0_8,1313,3039,88743,476641,0.9854201829972462,0.9668889324704191,0.9760666087396473,66,1321.409090909091,1111919.1962809917,1054.4757921740033,156.8336729913047
Threshold_9,22554,44503,71473,986404,0.7601327278334946,0.6162740567013865,0.6806855140164664,0,0.0,0.0,0.0,0.0
OpenClose_9,8983,60211,55765,999975,0.8612621239266077,0.48083224115334205,0.6171288816095262,0,0.0,0.0,0.0,0.0
TopHat_9,6828,48381,67595,1002130,0.9082541687381589,0.5828361040215216,0.710035241781732,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_9,18323,44379,71597,990635,0.7962299822064057,0.6173432434296751,0.69546761471811,103,782.1262135922331,1240531.7607691581,1113.7916146071302,175.209364933875
Contours_OpenClose_90_9,8918,60415,55561,1000040,0.8616914034026583,0.479073256535835,0.6157878695519658,84,704.0297619047619,646349.4425666099,803.958607495815,125.81698655372574
Contours_TopHat_90_9,3192,50496,65480,1005766,0.9535181733457595,0.5645995723253087,0.7092413673584333,68,899.8308823529412,1552530.1515462806,1246.0056787777014,240.32438091670767
Verite_terrain_0_9,3171,3711,112265,1005787,0.9725302332028137,0.9680020004138787,0.970260833491781,79,1397.240506329114,2479650.328232656,1574.690549991539,161.10692490656166
Threshold_10,32368,36522,63415,862403,0.6620694695300836,0.6345497663528022,0.648017576129164,0,0.0,0.0,0.0,0.0
OpenClose_10,14111,47889,52048,880660,0.7867108027630405,0.5208081091087385,0.6267218957711204,0,0.0,0.0,0.0,0.0
TopHat_10,9711,48007,51930,885060,0.8424587531026427,0.5196273652401012,0.6427855277327359,0,0.0,0.0,0.0,0.0
Contours_Threshold_90_10,27254,36929,63008,867517,0.6980567680751589,0.6304772006364009,0.6625481732290917,116,707.9137931034483,460069.79429250886,678.2844493960546,154.1244186214332
Contours_OpenClose_90_10,13686,48331,51606,881085,0.790387796360963,0.5163853227533346,0.6246603199196267,93,645.6182795698925,385206.70644005085,620.6502287440575,117.02707900667703
Contours_TopHat_90_10,7832,47959,51978,886939,0.8690519979936465,0.5201076678307334,0.6507540047700426,81,656.1111111111111,338298.4259259259,581.6342716225772,165.2751715315713
Verite_terrain_0_10,1578,3155,96782,893193,0.9839568930459537,0.968430110969911,0.9761317619530301,74,1282.668918918919,1185009.8194393716,1088.581563062397,153.82988335474118
